Title,View
"
      Italian numbers (+39) are incorrectly parsed in login page
    ","Description When you add an account to Telegram and insert the italian prefix +39, the overlay that shows how the number is parsed misses a digit, Italians numbers commonly have 10 digits instead of 9.…"
"
      blank
    ","webk shows all white background when i visit Steps to reproduce webk shows all white background when i visit Device info Telegram Web 1.37.1 Z, Opera 84"
"
      The attach menu / media editor isn't closed after scheduling
    ","Similar issue: Time selector appears twice when scheduling media After scheduling a photo or video, the attachment menu (also the full-screen media editor if used) won't be automatically closed. Steps…"
"
      App doesn’t follow Android animation speed settings for attachments menu
    ","Steps to reproduce 1. In Android Developer Settings, set animation speed to 0.5 2. Open Telegram > Go to any chat and open the attachment menu  Current Result The app doesn't follow the Animation Speed…"
"
      [iOS] Preferred sending video quality is decreased after sending a lower quality video
    ","When sending a HD video and selecting 'HD', the preferred quality is preserved the next time the video is sent. However, when a lower quality video is sent (e.g. 480p), the preferred quality is dropped…"
"
      Crash after last updates still not solved - Android 4.4.4
    ","Hello, I have already reported in two previous posts that the app has a multiple crash issue ... - Crash after last updates on Jan 19 - Multiple crash with Android 4.4.4 on Feb 5 Both are marked ""Fixed""…"
"
      Poll voters preview
    ","Good morning, from telegram web it shows as that only one person responded to the poll. Entering the results instead shows that other people responded. It doesn't happen in all polls, because in another…"
"
      Volume control in voice and video chats
    ","Since when voice chats were implemented I noticed that the volume does not respond to the volume buttons of the smartphone,  and this has never changed for me, so the only solution I had was to manually…"
"
      Problem with Send ZWNJ Character
    ","When I want to send a message that is equal to ""zero-width non-joiner (ZWNJ)"", Telegram doesn't work correctly. The ZWNJ is encoded in Unicode as U+200C ZERO WIDTH NON-JOINER (HTML &#8204; · &zwnj;).…"
"
      Links in bots welcome messages are not clickable neither selectable
    ","Steps to reproduce 1. Open on desktop a discussion with a bot that has a welcome message (e.g. @username_bot, @botfather) 2. Click on the link in the welcome message (before /start) Current result It's…"
"
      Android: chat media minor visual bug
    ","As you can see on the video, the ""mute""/""disbale sound in video"" button becomes super small on video quality readjustment screen. It's clickable and functioning, its just a little bit confusing. Steps…"
"
      The counter in the ""New messages"" folder is not working properly.
    ","The bug dissapears after the program is reloaded. And there's permanent another bug with language. See ""Edit folder"" button and the main menu of the app. Steps to reproduce I don't know the exact steps…"
"
      bug para digitar
    ","when I'm going to send a message to someone in the app, the system changes, deletes or changes my cursor, and it is impossible to send a message to people, but this only occurs with telegram web, by my…"
"
      Can't put on the transparent theme, the option is absent in the settings
    ","I've updated the app to the last version but I can't set the transparent theme, the option isn't even available in the settings Steps to reproduce You just open the chat setting and don't see the option…"
"
      Telegram switches Languages
    ",My Telegram Web always switches from German to English. Gets pretty annoying to always put it back into German. Is there a way to fix this? Steps to reproduce 1. I open Telegram 2. It is in english and…
"
      Telegram keeps using the camera when attachment menu is closed
    ","Telegram for iPadOS keeps the camera on even after the file picker has been closed. Steps to reproduce 1. On iPad, tap the paper clip to open the file picker. 2. You will see a green recording dot appear…"
"
      Telegram Desktop sound output not working with headphones
    ","When I start a video/audio/voice massages, I can't get the output to work. - I can hear my interlocutor during voice or videocall - the microphone works fine, the other person can hear me - I already…"
"
      Cannot send gif In secret chat
    ",I can't send Gif in secret chat . Whenever I send Gif using inbuilt gif section in telegram it's show (!) And not sending gif and if I turn on self-destruction timer opposite party can't play gif . Please…
"
      It is not possible to switch to video chat on a personal computer if the dialog is conducted from the mobile version
    ","Hello, beloved telegram. I noticed the following defect in the mac OS m 8.6.228556 AppStore application, when entering into a video chat on an iOS mobile device, it is no longer possible to join the chat…"
